,Unnamed: 0,C_LAT,C_LONG,TYPE,LINK,NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE_x,LATITUDE_x,TOT,orig_ogc_fid,LATITUDE_y,LONGITUDE_y,utm_e,utm_n,population,count_intersections,street_length_avg,street_length_total,streets_per_node_avg,betweenness_centrality_avg,closeness_centrality_avg,clustering_coefficient_avg,street_length_total_ext,primary_length_total_ext,highway_length_total_ext,road_length_total_ext,street_oneway_length_total_ext,fraction_oneway_ext,count_roads_ext,road_lenght_avg_ext,cf,POI_Count,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_RW,N_Est_Services,N_Est_BFA,N_Emp_Mfg,N_Emp_RW,N_Emp_Services,N_Emp_BFA,N_Emp_Tot,fis_score
10,10,-12.182649000000001,-76.94479100000001,Colegio,786,CEN 6032,0x2c05,colegio,,AV BERNARDO ALCEDO,5.0,UB JOSE BERNARDO ALCEDO,JOSE BERNARDO ALCEDO Y TAHUANTINSUYO,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.94479100000001,-12.182649000000001,"-76.9448, -12.1826",900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,-12.179960000000001,-76.94041,Colegio,787,CE Republica de Ecuador,0x2c05,colegio,291-3000,AV 1 DE MAYO,3.0,PJ CESAR VALLEJO,26 DE NOVIEMBRE CDRA. 1,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.94041,-12.179960000000001,"-76.9404, -12.18",901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,-12.205629,-76.953837,Colegio,788,CE 7094 Sasakawa,0x2c05,colegio,292-9148,AV PASTOR SEVILLA,16.0,,ESQ. EL SOL CDRA. 14 Y PATOR SEVILLA SECTOR 1 GRUPO 1A,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.953837,-12.205629,"-76.9538, -12.2056",906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,-11.956939,-77.068627,Colegio,789,CE PNP Proceres de la Independencia,0x2c05,colegio,,AV ALFREDO MENDIOLA,60.0,UB INFANTAS,PANAMERICANA NORTE KM. 21,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.068627,-11.956939,"-77.0686, -11.9569",918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,-11.868345,-77.074541,Colegio,790,CE Augusto B Leguia,0x2c05,colegio,548-0131,AV MIGUEL GRAU,,UB AGUSTIN BEDOYA,BUENOS AIRES S/N,PUENTE PIEDRA,LIMA,LIMA,PERU,-77.074541,-11.868345,"-77.0745, -11.8683",934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,-11.890939,-77.12634200000001,Colegio,791,CE Mi peque�o arquitecto,0x2c05,colegio,994758428,AV JUPITER,,AH ANGAMOS 3 ETAPA,A.H. ANGAMOS SECTOR II MZ. K-7 LT. 27,VENTANILLA,CALLAO,CALLAO,PERU,-77.12634200000001,-11.890939,"-77.1263, -11.8909",991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,-12.157538,-76.964186,Colegio,792,CE Inca Pachacutec (Ex Ruso) 6037,0x2c05,colegio,,AV HEROES,9.0,UB SAN JUAN ZONA D,LOS HEROES 921 URB. SAN JUANITO,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.964186,-12.157538,"-76.9642, -12.1575",1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,-12.159761,-76.958842,Colegio,793,CE Internacional Latino,0x2c05,colegio,,CA RETORNO,,UB SAN JUAN ZONA D,ESQ. MIGUEL IGLESIAS Y LOS HEROES MZ. D2,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.958842,-12.159761,"-76.9588, -12.1598",1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,-12.179988,-76.941772,Colegio,794,CE Javier Perez de Cuellar,0x2c05,colegio,,AV 26 DE NOVIEMBRE,,PJ CESAR VALLEJO,ESQ. 26 DE NOVIEMBRE CDRA. 1 Y CESAR VALLEJO,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.941772,-12.179988,"-76.9418, -12.18",1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,-12.143661999999999,-76.97240500000001,Colegio,795,Pebal La Inmaculada,0x2c05,colegio,285-0337,AV ALFREDO BAMBAREN,,AH SAN LUIS,ESQ. ALFREDO BAMBAREN Y SOLIDARIDAD,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.97240500000001,-12.143661999999999,"-76.9724, -12.1437",1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,-12.129871000000001,-76.975077,Colegio,796,CE La Inmaculada,0x2c05,colegio,275-1000 / 275-0948,JR HERMANO SANTOS GARCIA,1.0,,HERMANO SANTOS GARCIA 108 URB. VALLE HERMOSO,SURCO,LIMA,LIMA,PERU,-76.975077,-12.129871000000001,"-76.9751, -12.1299",1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,-12.121049000000001,-76.97454300000001,Colegio,797,Casuarinas College,0x2c05,colegio,344-4040 / 344-4396,AV JACARANDA,4.0,UB CASUARINAS,JACARANDA 391 URB. VALLE HERMOSO,SURCO,LIMA,LIMA,PERU,-76.97454300000001,-12.121049000000001,"-76.9745, -12.121",1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,-12.166426,-76.95250300000001,Colegio,798,Colegio Tupac Amaru,0x2c05,colegio,,AV PACHACUTEC,6.0,UB VILLA JARDIN ZONA 1,PACHACUTEC CDRA. 6,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.95250300000001,-12.166426,"-76.9525, -12.1664",1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,-12.094244,-76.967572,Colegio,799,Colegio Peruano Aleman Augusto Weberbauer,0x2c05,colegio,436-6212 / 435-8400,AV RAUL FERRERO,,UB MONTERRICO CHICO,PIO XII 123,SURCO,LIMA,LIMA,PERU,-76.967572,-12.094244,"-76.9676, -12.0942",1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,-12.072239999999999,-77.16752,Colegio,800,Escuela Naval,0x2c05,colegio,613-0400,,,,MEDINA S/N,LA PUNTA,CALLAO,CALLAO,PERU,-77.16752,-12.072239999999999,"-77.1675, -12.0722",1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,-12.008339,-77.004834,Colegio,801,Colegio Enrique Camino Brent,0x2c05,colegio,717-3434 / 717-3430 / 717-3435,JR ACEROS,1.0,,PROCERES DE LA INDEPENDENCIA 1571 URB. LAS FLORES DE LIMA,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.004834,-12.008339,"-77.0048, -12.0083",1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,-11.970578,-76.995041,Colegio,802,CEN 140,0x2c05,colegio,,AV PROCERES DE LA INDEPENDENCIA,36.0,UB CANTO GRANDE,FERNANDO WIESSE CDRA. 37 MZ. M,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.995041,-11.970578,"-76.995, -11.9706",1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,-11.969948,-76.994577,Colegio,803,Nicolas Copernico (CE),0x2c05,colegio,387-6499,AV PROCERES DE LA INDEPENDENCIA,36.0,UB CANTO GRANDE,FERNANDO WIESSE CDRA. 37 URB. LOS PINOS,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.994577,-11.969948,"-76.9946, -11.9699",1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,-11.978144,-76.99153299999999,Colegio,804,Santa Maria Reyna (CE),0x2c05,colegio,387-4154,AV SANTA ROSA DE LIMA,6.0,UB CANTO GRANDE,SAN MARTIN 701 URB. CANTO GRANDE,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.99153299999999,-11.978144,"-76.9915, -11.9781",1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,-12.017719999999999,-77.000748,Colegio,805,Los Peregrinos (CE),0x2c05,colegio,,AV LURIGANCHO,9.0,UB ASCARRUNZ BAJO,LURIGANCHO CDRA. 10,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.000748,-12.017719999999999,"-77.0007, -12.0177",1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,-12.020263,-76.999845,Colegio,806,Alegria de Jesus (CE),0x2c05,colegio,,CA MERCEDES,3.0,UB ASCARRUNZ BAJO,LAS MERCEDES CDRA. 3,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.999845,-12.020263,"-76.9998, -12.0203",1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,-12.039927,-76.996942,Colegio,807,Jose Carlos Mariategui (CE),0x2c05,colegio,327-7624,AV CESAR VALLEJO,,ASOC BRISAS DE SEVIMA,RIVA GUERO 1758,EL AGUSTINO,LIMA,LIMA,PERU,-76.996942,-12.039927,"-76.9969, -12.0399",1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,-12.045415,-76.99885400000001,Colegio,808,Gran Mariscal Ramon Castilla 1168 (CE),0x2c05,colegio,327-5402,PJE ANGLOS,1.0,PJ PRO VIVIENDA EL AGUSTINO 4 ETAPA,RIVA AGUERO 1575,EL AGUSTINO,LIMA,LIMA,PERU,-76.99885400000001,-12.045415,"-76.9989, -12.0454",1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,-12.092526,-77.07382199999999,Colegio,809,CE Salesiano Rosental de la Puente,0x2c05,colegio,263-0926 / 263-5531 / 263-8234,JR MIGUEL GRAU,5.0,,GRAU 525,MAGDALENA DEL MAR,LIMA,LIMA,PERU,-77.07382199999999,-12.092526,"-77.0738, -12.0925",1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,-12.082782,-77.085036,Colegio,810,CE Peruano Chino 10 de Octubre,0x2c05,colegio,332-1770 / 331-2147,AV JOSE DE LA RIVA AGUERO,3.0,UB PANDO 4 ETAPA,JOSE DE LA RIVA AGUERO 350,SAN MIGUEL (LIMA),LIMA,LIMA,PERU,-77.085036,-12.082782,"-77.085, -12.0828",1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,-12.08789,-77.08197,Colegio,811,CEI La Semillita,0x2c05,colegio,462-7511,AV LIMA,8.0,,TACNA 785,SAN MIGUEL (LIMA),LIMA,LIMA,PERU,-77.08197,-12.08789,"-77.082, -12.0879",1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,-12.087606,-77.089347,Colegio,812,CE Saenz Pe�a,0x2c05,colegio,566-2569,AV LA PAZ,6.0,,LA PAZ  675 URB. MIRMAR,SAN MIGUEL (LIMA),LIMA,LIMA,PERU,-77.089347,-12.087606,"-77.0893, -12.0876",1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,-12.075714999999999,-77.11837299999999,Colegio,813,Colegio Militar Leoncio Prado,0x2c05,colegio,420-4120 / 457-6067,AV COSTANERA,18.0,UB SAN FERNANDO,COSTANERA 1541,LA PERLA,CALLAO,CALLAO,PERU,-77.11837299999999,-12.075714999999999,"-77.1184, -12.0757",1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,-12.072098,-77.125015,Colegio,814,Colegio Almirante Miguel Grau Seminario,0x2c05,colegio,,AV LA PAZ,10.0,UB LA PERLA,LA PAZ 1000,LA PERLA,CALLAO,CALLAO,PERU,-77.125015,-12.072098,"-77.125, -12.0721",1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,-12.071114999999999,-77.126587,Colegio,815,CE Parroquial,0x2c05,colegio,,AV LA PAZ,8.0,UB BELLAVISTA LA PERLA,LA PAZ CDRA. 8,LA PERLA,CALLAO,CALLAO,PERU,-77.126587,-12.071114999999999,"-77.1266, -12.0711",1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,-11.98054,-77.07158000000001,Colegio,816,CE Reyna de los Angeles,0x2c05,colegio,,PASAJE Q,,UB PARQUE DEL NARANJAL 1 ETAPA,NARANJAL 656  URB. PARQUE NARANJAL,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.07158000000001,-11.98054,"-77.0716, -11.9805",1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,-12.003017,-77.054901,Colegio,817,CE Manuel Scorza,0x2c05,colegio,,AV TUPAC AMARU,,,ESQ. GERARDO UNGER CDRA. 70 Y 12 DE JULIO,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.054901,-12.003017,"-77.0549, -12.003",1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,-12.017677,-77.05605200000001,Colegio,818,CE 349 Palao,0x2c05,colegio,,JR SAN LUCAS,3.0,UB PALAO,ESQ. SAN LUCAS CDRA. 4 Y SAN FRANCISCO,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.05605200000001,-12.017677,"-77.0561, -12.0177",1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,-12.083012,-77.039526,Colegio,819,CE Sin Limites,0x2c05,colegio,,JR LEON VELARDE,4.0,,LEON VELARDE CDRA. 4,LINCE,LIMA,LIMA,PERU,-77.039526,-12.083012,"-77.0395, -12.083",1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,-12.048297,-77.04514499999999,Colegio,820,CE San Ignacio de Loyola,0x2c05,colegio,423 -1623,JR SANCHEZ PINILLOS,2.0,,SANCHES PINILLOS 280,LIMA,LIMA,LIMA,PERU,-77.04514499999999,-12.048297,"-77.0451, -12.0483",1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,-12.042657,-76.977526,Colegio,821,IE No101 Shuji Kitanura,0x2c05,colegio,362-0326,AV MARIATEGUI,3.0,UB UNIVERSAL,MARIATEGUI 355 COOP. UNIVERSAL,SANTA ANITA,LIMA,LIMA,PERU,-76.977526,-12.042657,"-76.9775, -12.0427",1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,-12.048366,-76.977314,Colegio,822,IE Yamaguchi,0x2c05,colegio,,CA CEDROS,5.0,UB LOS FICUS,ESQ. LOS CEDROS Y LOS SAUCES,SANTA ANITA,LIMA,LIMA,PERU,-76.977314,-12.048366,"-76.9773, -12.0484",1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,-12.032034,-77.073088,Colegio,823,CE Tecnico Jorge Basadre,0x2c05,colegio,568-3897,JR PUERTO BARRIOS,5.0,UB PERU II ZONA,PERU 2505,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.073088,-12.032034,"-77.0731, -12.032",1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,-12.030729,-77.085514,Colegio,824,Colegio Gran Amauta,0x2c05,colegio,567-4497,AV PERU,35.0,UB PERU IV ZONA,PERU 3500,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.085514,-12.030729,"-77.0855, -12.0307",1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,-12.000142,-77.084253,Colegio,825,CE Saco Oliveros,0x2c05,colegio,,AV UNIVERSITARIA,32.0,UB EL PACIFICO 2 ETAPA,UNIVERSITARIA CDRA. 30 MZ. O URB. EL PACIFICO,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.084253,-12.000142,"-77.0843, -12.0001",1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,-11.985487,-77.073643,Colegio,826,CE Manuel Caceres,0x2c05,colegio,,JR CIRUELOS,,AH 12 DE AGOSTO,LOS GIRASOLES ALT. LOS ALISOS CDRA. 8,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.073643,-11.985487,"-77.0736, -11.9855",1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,-11.985296,-77.065427,Colegio,827,CE Norlantec,0x2c05,colegio,,AV ALFREDO MENDIOLA,41.0,UB MICAELA BASTIDAS,ALFREDO MENDIOLA CDRA. 41,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.065427,-11.985296,"-77.0654, -11.9853",1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,-11.976460000000001,-77.07318000000001,Colegio,828,CE Ni�o Rey,0x2c05,colegio,521-1954,AV PALMERAS,53.0,ASOC LA ESPERANZA,LAS PALMERAS 5316,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.07318000000001,-11.976460000000001,"-77.0732, -11.9765",1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,-11.96915,-77.07226,Colegio,829,CE Manuel Scorza,0x2c05,colegio,528-1734 / 528-9042,CA ARISTIDES,1.0,UB VILLA SOL 4 ETAPA,LAS PALMERAS 5655,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.07226,-11.96915,"-77.0723, -11.9692",1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,-11.965919,-77.073433,Colegio,830,CE Alexander Von Humboldt,0x2c05,colegio,528-2114,CA CALLE 1,,UB PARQUE DE VILLA SOL 4 ETAPA,UNIVERSITARIA 5998 URB. VILLA SOL,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.073433,-11.965919,"-77.0734, -11.9659",1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,-12.05183,-77.070938,Colegio,831,Colegio Hipolito Unanue,0x2c05,colegio,,AV VICTOR SARRIA ARZUBIAGA,12.0,UV UNIDAD VECINAL MIRONES,GARCIA Y GARCIA URB. UNIDAD VECINAL,LIMA,LIMA,LIMA,PERU,-77.070938,-12.05183,"-77.0709, -12.0518",1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,-12.06134,-77.06668,Colegio,832,CEP Santa Lucia,0x2c05,colegio,,AV ALBORADA,13.0,UB PANDO 3 ETAPA,LA ALBORADA CDRA. 13,LIMA,LIMA,LIMA,PERU,-77.06668,-12.06134,"-77.0667, -12.0613",1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,-12.06663,-77.067522,Colegio,833,CEP Divino Redentor,0x2c05,colegio,337-6307,AV ALBORADA,17.0,UB LAS BRISAS,LA ALBORADA 1720 ALT. MARIANO H. CORNEJO CDRA. 15,LIMA,LIMA,LIMA,PERU,-77.067522,-12.06663,"-77.0675, -12.0666",1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,-12.067015,-77.054213,Colegio,834,CE Se�or de Luren,0x2c05,colegio,,AV DEL RIO,1.0,,DEL RIO CDRA. 1,PUEBLO LIBRE (LIMA),LIMA,LIMA,PERU,-77.054213,-12.067015,"-77.0542, -12.067",1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,-12.155363000000001,-76.976762,Colegio,835,CE Fermin Taguis,0x2c05,colegio,450-2048,JR JOAQUIN BERNAL,3.0,,JOAQUIN BERNAL 370 ZONA A,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.976762,-12.155363000000001,"-76.9768, -12.1554",1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,-12.155823,-76.975615,Colegio,836,CN 7061 Heroes de San Juan,0x2c05,colegio,276-0661,JR JOAQUIN BERNAL,4.0,,JOAQUIN BERNAL 417 ZONA A,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.975615,-12.155823,"-76.9756, -12.1558",1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,-12.158866999999999,-76.971593,Colegio,837,CE Tomas Alva Edison,0x2c05,colegio,,AV JOSE MARIA SEGUIN,,UB SAN JUAN ZONA D,GUILLERMO BILLIINGHURST 609,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.971593,-12.158866999999999,"-76.9716, -12.1589",1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,-12.181842,-76.962396,Colegio,838,CE La Inmaculada,0x2c05,colegio,,AV MIGUEL IGLESIAS,,UB SAN MIGUEL DE APURI,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.962396,-12.181842,"-76.9624, -12.1818",1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,-12.185918,-76.960073,Colegio,839,CE Ramiro Priale,0x2c05,colegio,,AV MIGUEL IGLESIAS,,ASOC URANMARCA,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.960073,-12.185918,"-76.9601, -12.1859",1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,-12.203698,-76.95366899999999,Colegio,840,CE Los Angeles de Salvador,0x2c05,colegio,,CA PASTOR SEVILLA,15.0,PJ SECTOR I GRUPO 25A VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.95366899999999,-12.203698,"-76.9537, -12.2037",1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,-12.213851,-76.948704,Colegio,841,CE Peruano Frances,0x2c05,colegio,,AV PASTOR SEVILLA,23.0,PJ SECTOR VI GRUPO 4 VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.948704,-12.213851,"-76.9487, -12.2139",1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,-12.206406,-76.947762,Colegio,842,Jorge Basadre IE,0x2c05,colegio,,AV MICAELA BASTIDAS,12.0,PJ SECTOR II GRUPO 22 VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.947762,-12.206406,"-76.9478, -12.2064",1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,-12.199599000000001,-76.951738,Colegio,843,CE Peru EEUU,0x2c05,colegio,,AV MICAELA BASTIDAS,6.0,PJ SECTOR I GRUPO 24 VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.951738,-12.199599000000001,"-76.9517, -12.1996",1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
