NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE,TOT,orig_ogc_fid
Policlinico Gonzales,0x3002,hospital,471-1579,AV IGNACIO MERINO,18,,IGNACIO MERINO 1884,LINCE,LIMA,LIMA,PERU,-77.032727,-12.082957,"-77.0327, -12.083",27
Policlinico Miraflores,0x3002,hospital,,CA JORGE VANDERGHEN,3,UB CHACARILLA SANTA CRUZ,VANDERGHEN 315,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.04008,-12.1103,"-77.0401, -12.1103",28
Policlinico Naranjal,0x3002,hospital,,AV ALISOS,3,UB EL NARANJAL,LOS ALISOS,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.062899,-11.983645,"-77.0629, -11.9836",29
Policlinico Nuestra Sra de Guadalupe,0x3002,hospital,472-8467 / 472-4819 / 999005715,AV PALERMO,1,UB BALCONCILLO,MEXICO CDRA. 7,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.022943,-12.075441,"-77.0229, -12.0754",30
Policlinico Peruano Japones,0x3002,hospital,204-2100 / 204-2125,RESIDENCIAL SAN FELIPE,,RES SAN FELIPE,GREGORIO ESCOBEDO 783,JESUS MARIA,LIMA,LIMA,PERU,-77.054682,-12.087944,"-77.0547, -12.0879",31
Clinica Ricardo Palma,0x3002,hospital,224-2224 / 224-2226,AV JAVIER PRADO ESTE,10,UB EL PALOMAR,JAVIER PRADO ESTE 1066,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.018503,-12.09054,"-77.0185, -12.0905",32
Clinica San Borja,0x3002,hospital,702-4300 / 702-4300 anexo: 17,AV GUARDIA CIVIL,3,,GUARDIA CIVIL 337,SAN BORJA,LIMA,LIMA,PERU,-77.008601,-12.091949,"-77.0086, -12.0919",33
Clinica San Camilo,0x3002,hospital,427-9192 / 427-0219 / 427-9503 / 426-218,JR ANCASH,8,,ANCASH 809,LIMA,LIMA,LIMA,PERU,-77.02192,-12.047523,"-77.0219, -12.0475",34
Clinica San Felipe,0x3002,hospital,219-0000,AV GREGORIO ESCOBEDO,6,,GREGORIO ESCOBEDO 650,JESUS MARIA,LIMA,LIMA,PERU,-77.054357,-12.086191,"-77.0544, -12.0862",35
Clinica San Francisco,0x3002,hospital,463-9855 / 461-3904 / 2615231,AV SAN FELIPE,1,,SAN FELIPE 142,JESUS MARIA,LIMA,LIMA,PERU,-77.057883,-12.081162,"-77.0579, -12.0812",45
Clinica El Golf,0x3002,hospital,631-0000 / 631-0001,AV AURELIO MIRO QUESADA,10,UB SANTA ROSA,AURELIO MIRO QUESADA 1030,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.05143,-12.098885,"-77.0514, -12.0989",46
Clinica Bellavista,0x3002,hospital,(01) 451-3454,CA GAVIOTAS,2,UB SAN JOSE,GAVIOTAS 207,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.096642,-12.057644,"-77.0966, -12.0576",47
Hogar Clinica San Juan de Dios,0x3002,hospital,319-1400 / 3261083,AV NICOLAS ARRIOLA,32,UB EL PINO,NICOLAS ARRIOLA 3250,SAN LUIS (LIMA),LIMA,LIMA,PERU,-76.989791,-12.064814,"-76.9898, -12.0648",48
Clinica Internacional,0x3002,hospital,,AV GUARDIA CIVIL,3,,GUARDIA CIVIL 385,SAN BORJA,LIMA,LIMA,PERU,-77.008853,-12.092417,"-77.0089, -12.0924",49
Clinica Santa Isabel,0x3002,hospital,475-7777 / 475-2624,AV GUARDIA CIVIL,1,,GUARDIA CIVIL 133 - 135,SAN BORJA,LIMA,LIMA,PERU,-77.00738,-12.089398,"-77.0074, -12.0894",50
Clinica Santa Monica,0x3002,hospital,441-6210 / 441-6206,AV AREQUIPA,24,,AREQUIPA 2449 - 2491,LINCE,LIMA,LIMA,PERU,-77.033422,-12.088413,"-77.0334, -12.0884",51
Santa Natalia,0x3002,hospital,296-102,AV SAENZ PE�A,8,,SAENZ PE�A 807,CALLAO,CALLAO,CALLAO,PERU,-77.136113,-12.060075,"-77.1361, -12.0601",52
Clinica Santa Teresa,0x3002,hospital,221-2027 / 441-1666 / 441-6192,CA HALCONES,4,UB LIMATAMBO,LOS HALCONES 410,SURQUILLO (LIMA),LIMA,LIMA,PERU,-77.020763,-12.104416,"-77.0208, -12.1044",53
Clinica Stella Maris,0x3002,hospital,463-6666 / 4613396,AV PASEO DE LOS ANDES,9,UB LA AREQUIPE�A,PASEO DE LOS ANDES 923,PUEBLO LIBRE (LIMA),LIMA,LIMA,PERU,-77.059317,-12.070875,"-77.0593, -12.0709",54
Clinica Padre Luis Tezza,0x3002,hospital,610-5050,AV EL POLO,5,UB EL POLO,EL POLO 570,SURCO,LIMA,LIMA,PERU,-76.972323,-12.103185,"-76.9723, -12.1032",55
Clinica Vesalio,0x3002,hospital,618-9999,CA JOHN THOMSON,1,UB SANTO TOMAS,JOSEPH THOMPSON 140,SAN BORJA,LIMA,LIMA,PERU,-77.007236,-12.106298,"-77.0072, -12.1063",56
Hospital Dos de Mayo Emergencia,0x3002,hospital,328-0028 /  328-1434,AV MIGUEL GRAU,14,UB BARRIOS ALTOS,GRAU CDRA. 14,LIMA,LIMA,LIMA,PERU,-77.01507,-12.056565,"-77.0151, -12.0566",63
Hospital Guillermo Almenara ESSALUD,0x3002,hospital,324-2983 / 324-2980,AV MIGUEL GRAU,8,,GRAU 800,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.02246,-12.058371,"-77.0225, -12.0584",64
Hospital Arzobispo Loayza,0x3002,hospital,4313799 / 423-9154,AV ALFONSO UGARTE,8,,ALFONSO UGARTE 848,LIMA,LIMA,LIMA,PERU,-77.042719,-12.050081,"-77.0427, -12.0501",65
Hospital Casimiro Ulloa,0x3002,hospital,445-5096,AV REPUBLICA DE PANAMA,63,UB ROSEDAL,REPUBLICA DE PANAMA 6355,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.017943,-12.12836,"-77.0179, -12.1284",90
Hospital Cayetano Heredia,0x3002,hospital,482-0402 / 342-6576,AV HONORIO DELGADO,3,UB CAYETANO HEREDIA,,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.055389,-12.022894,"-77.0554, -12.0229",91
Centro Medico Asistencial,0x3002,hospital,,CA REPUBLICA DOMINICANA,4,,ESQ. REPUBLICA DOMINICANA Y HORACIO ARTEGA,JESUS MARIA,LIMA,LIMA,PERU,-77.048544,-12.074522,"-77.0485, -12.0745",92
Centro Medico Naval,0x3002,hospital,613-7600 / 613-7800,AV VENEZUELA,51,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.090193,-12.061596,"-77.0902, -12.0616",93
Centro de Salud Chacra Colorada,0x3002,hospital,423-1180,JR CARHUAZ,5,UB CHACRA COLORADA,CARHUAZ 509,BRENA,LIMA,LIMA,PERU,-77.04814,-12.053976,"-77.0481, -12.054",94
Centro de Salud Lince,0x3002,hospital,471-0850,JR MANUEL CANDAMO,4,,MANUEL CANDAMO 495,LINCE,LIMA,LIMA,PERU,-77.031848,-12.081969,"-77.0318, -12.082",95
Centro de Salud,0x3002,hospital,,AV LIMA,3,UB CAJA DE AGUA,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.015503,-12.025673,"-77.0155, -12.0257",96
Centro de Salud Materno Infantil,0x3002,hospital,445-0889,JR NARCISO DE LA COLINA,8,,NARCISO DE LA COLINA 840,SURQUILLO (LIMA),LIMA,LIMA,PERU,-77.022436,-12.118392,"-77.0224, -12.1184",97
Villa Maria del Perpetuo Socorro,0x3002,hospital,433-7218 / 433-8299 / 976353756,JR VILLA MARIA,7,UB VILLA MARIA DEL PERPETUO SOCORRO,VILLA MARIA 745 AH. VILLA MARIA,LIMA,LIMA,LIMA,PERU,-77.055159,-12.037498,"-77.0552, -12.0375",98
Chacarilla de Otero,0x3002,hospital,458-3230 / 458-3290,JR JOSE ENCINAS,1,UB LAS FLORES,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.006888,-12.02114,"-77.0069, -12.0211",99
Policlinico Chincha ESSALUD,0x3002,hospital,433-3748 / 433-7846 / 411-8000,JR CHINCHA,2,,CHINCHA 226,LIMA,LIMA,LIMA,PERU,-77.039266,-12.062734,"-77.0393, -12.0627",100
Hospital Daniel Alcides Carrion,0x3002,hospital,614-7474,AV GUARDIA CHALACA,21,UB SE�OR DE LOS MILAGROS,GUARDIA CHALACA 2176,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.122928,-12.062943,"-77.1229, -12.0629",101
Hospital de Policia PNP Luis N. Saenz,0x3002,hospital,463-0011 / 463-0708 / 463-0709,AV BRASIL,25,,,JESUS MARIA,LIMA,LIMA,PERU,-77.060991,-12.084195,"-77.061, -12.0842",102
Hospital del Ni�o,0x3002,hospital,330-0066 anexo: 1141 - 1142,AV BRASIL,6,,BRASIL 600,BRENA,LIMA,LIMA,PERU,-77.045659,-12.064987,"-77.0457, -12.065",103
Hospital Edgardo Rebagliati ESSALUD,0x3002,hospital,265-4901 / 265-4904,JR EDGARDO REBAGLIATI,4,,REBAGLIATI 490,JESUS MARIA,LIMA,LIMA,PERU,-77.040219,-12.079767,"-77.0402, -12.0798",104
Hospital Hipolito Unanue,0x3002,hospital,362-7777 / 362-5700,AV CESAR VALLEJO,13,,CESAR VALLEJO 1390,EL AGUSTINO,LIMA,LIMA,PERU,-76.993627,-12.040119,"-76.9936, -12.0401",105
Hospital de la FAP,0x3002,hospital,5135300 anexo: 2700,AV ARAMBURU,2,UB BARBONCITO,ARAMBURU CDRA. 2,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.029946,-12.103441,"-77.0299, -12.1034",106
Hospital Grau,0x3002,hospital,428-6190 / 411-8000,AV MIGUEL GRAU,3,,GRAU 351,LIMA,LIMA,LIMA,PERU,-77.031025,-12.058963,"-77.031, -12.059",107
Hospital Victor Larco Herrera,0x3002,hospital,261-5516 / 461-4442,AV PEREZ ARANIBAR,6,UB JACARANDA,PEREZ ARANIBAR 600,MAGDALENA DEL MAR,LIMA,LIMA,PERU,-77.064521,-12.099447,"-77.0645, -12.0994",111
Hospital Militar,0x3002,hospital,219-3516 / 219-3500 / 219-3500,AV SANCHEZ CARRION,1,,SANCHEZ CARRION S/N,JESUS MARIA,LIMA,LIMA,PERU,-77.061799,-12.086863,"-77.0618, -12.0869",112
Hospital Neoplasicas INEN,0x3002,hospital,201-6500 / 620-4991,AV ANGAMOS ESTE,26,UB VIPEP,,SURQUILLO (LIMA),LIMA,LIMA,PERU,-76.999302,-12.111898,"-76.9993, -12.1119",113
Policlinico Angamos ESSALUD,0x3002,hospital,241-2154 / 241-2150,AV ANGAMOS ESTE,2,,ANGAMOS ESTE 261,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.028087,-12.113517,"-77.0281, -12.1135",114
Policlinico Essalud del Callao,0x3002,hospital,429-1587 / 429-7744 / 411-8000,AV GUARDIA CHALACA,22,UB SE�OR DE LOS MILAGROS,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.122256,-12.0634,"-77.1223, -12.0634",115
Posta Medica El Planeta,0x3002,hospital,,JR PROGRESO,3,UB EL PLANETA,ESQ. ENRIQUE MEIGGS Y PROGRESO,LIMA,LIMA,LIMA,PERU,-77.063383,-12.038437,"-77.0634, -12.0384",116
Ramon Castilla ESSALUD,0x3002,hospital,425-1225,JR GUILLERMO DANSEY,3,,ESQ. GUILLERMO DANSEY CON HUAROCHIRI,LIMA,LIMA,LIMA,PERU,-77.044013,-12.044985,"-77.044, -12.045",117
Hospital Regional Alberto Sabogal,0x3002,hospital,429-0728,AV GUARDIA CHALACA,22,UB SE�OR DE LOS MILAGROS,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.121315,-12.064124,"-77.1213, -12.0641",118
Hospital San Bartolome,0x3002,hospital,330-3521,AV ALFONSO UGARTE,8,,ALFONSO UGARTE 825,LIMA,LIMA,LIMA,PERU,-77.042195,-12.049867,"-77.0422, -12.0499",119
Hospital Maria Auxiliadora,0x3002,hospital,446-0707,AV MIGUEL IGLESIAS,9,,MIGUEL IGLESIAS 968,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.958792,-12.161134,"-76.9588, -12.1611",120
Hospital Santa Rosa,0x3002,hospital,463-3100,AV SIMON BOLIVAR,7,,BOLIVAR CDRA. 7,PUEBLO LIBRE (LIMA),LIMA,LIMA,PERU,-77.061294,-12.071729,"-77.0613, -12.0717",121
Instituto Nacional de Ciencias Neurologicas Oscar Trelles Montes,0x3002,hospital,411-7700 / 328-7382,JR ANCASH,12,UB BARRIOS ALTOS,ANCASH 1271,LIMA,LIMA,LIMA,PERU,-77.015573,-12.046023,"-77.0156, -12.046",122
Hermilio Valdizan,0x3002,hospital,494-2429,AV NICOLAS AYLLON,39,,NICOLAS AYLLON S/N,SANTA ANITA,LIMA,LIMA,PERU,-76.945918,-12.04654,"-76.9459, -12.0465",123
Policinico Luis Negreiros Vega ESSALUD,0x3002,hospital,574-7024 / 574-2228 / 411-8000,AV TOMAS VALLE,36,UB CIUDAD SATELITE SANTA ROSA,,CALLAO,CALLAO,CALLAO,PERU,-77.097628,-12.01564,"-77.0976, -12.0156",303
Hospital Sergio Bernales,0x3002,hospital,558-0186,AV TUPAC AMARU,53,,TUPAC AMARU 8000 KM 14.5,COMAS,LIMA,LIMA,PERU,-77.039525,-11.913971,"-77.0395, -11.914",369
Morgue Central de Lima,0x3002,hospital,328-8571 / 328-8590,JR CANGALLO,8,,CANGALLO 818,LIMA,LIMA,LIMA,PERU,-77.022013,-12.056772,"-77.022, -12.0568",453
Asilo Viuda de Canevaro,0x3002,hospital,481-1499,JR MADERA,3,,MADERA 399,RIMAC,LIMA,LIMA,PERU,-77.025163,-12.038631,"-77.0252, -12.0386",456
Colegio Newton,0x2c05,colegio,479-0460 / 479-0430,AV RICARDO ELIAS APARICIO,2,UB LAS LAGUNAS,RICARDO ELIAS APARICIO 240,LA MOLINA,LIMA,LIMA,PERU,-76.925824,-12.081203,"-76.9258, -12.0812",520
Colegio Villa Maria,0x2c05,colegio,479-2628 / 479-2115 / 368-1634,CA  LA LAGUNA,2,UB CLUB CAMPESTRE LA LAGUNA,LA LAGUNA 280,LA MOLINA,LIMA,LIMA,PERU,-76.911125,-12.070522,"-76.9111, -12.0705",522
Colegio Reina de los Angeles,0x2c05,colegio,368-1429 / 368-1433,MALECON MONTEBELLO,6,UB RINCONADA ALTA,MALECON MONTEBELLO 605,LA MOLINA,LIMA,LIMA,PERU,-76.925444,-12.079346,"-76.9254, -12.0793",523
Recoleta,0x2c05,colegio,702-2500 / 435-2991,CIRCUNVALACION DEL GOLF,3,,CIRCUNVALACION DEL GOLF 368,LA MOLINA,LIMA,LIMA,PERU,-76.961789,-12.075907,"-76.9618, -12.0759",524
Colegio Lincoln,0x2c05,colegio,617-4500 / 617-4510,AV JOSE ANTONIO,4,,JOSE ANTONIO 475 URB. PARQUE DE MONTERRICO,LA MOLINA,LIMA,LIMA,PERU,-76.968344,-12.068376,"-76.9683, -12.0684",528
Colegio Roosevelt,0x2c05,colegio,702-4506,AV PALMERAS,3,UB CAMACHO,LAS PALMERAS 325 URB. CAMACHO,LA MOLINA,LIMA,LIMA,PERU,-76.971653,-12.076315,"-76.9717, -12.0763",529
Colegio Nuestra Se�ora de Guadalupe,0x2c05,colegio,798-1685,AV ALFONSO UGARTE,12,,ALFONSO UGARTE CDRA. 12,LIMA,LIMA,LIMA,PERU,-77.041668,-12.055312,"-77.0417, -12.0553",540
Jose Granda (CE),0x2c05,colegio,568-0230,AV JOSE GRANDA,29,AH HUSARES DE JUNIN,UNIVERSITARIA 283 OVALO JOSE GRANDA,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.07488,-12.026728,"-77.0749, -12.0267",543
San Vicente de Paul,0x3002,hospital,,AV EUCALIPTOS,4,,ESQ. LOS EUCALIPTOS CDRA. 5 Y LOS ROBLES,CHACLACAYO,LIMA,LIMA,PERU,-76.77102,-11.97804,"-76.771, -11.978",559
Posta Medica,0x3002,hospital,,JR MIGUEL GRAU,,UB MIGUEL GRAU 1 ETAPA,INTEGRACION (MIGUEL GRAU) A.H. NUEVA ALIANZA,CHACLACAYO,LIMA,LIMA,PERU,-76.813553,-11.985058,"-76.8136, -11.9851",560
Centro Medico Ricardo Palma,0x3002,hospital,525-6969 / 224-2224 / 224-2226,AV TUPAC AMARU,3,UB CARABAYLLO 1 ETAPA,TUPAC AMARU 391,COMAS,LIMA,LIMA,PERU,-77.056399,-11.966313,"-77.0564, -11.9663",564
Policlinico San Felipe,0x3002,hospital,,AV TUPAC AMARU,57,UB SAN FELIPE I ETAPA,ESQ. TUPAC AMARU CDRA. 57 Y SAN FELIPE,COMAS,LIMA,LIMA,PERU,-77.034635,-11.90831,"-77.0346, -11.9083",567
Clinica Maison de Sante Sur,0x3002,hospital,619-6000 / 619-6007 / 619-6030,AV CHORRILLOS,1,,CHORRILLOS 171 - 173,CHORRILLOS,LIMA,LIMA,PERU,-77.022899,-12.157153,"-77.0229, -12.1572",600
Colegio Juana Alarco de Dammert,0x2c05,colegio,271-1746,AV BENAVIDES,22,UB HUMBOLDT,BENAVIDES 2315 URB. SAN ANTONIO,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.009278,-12.127503,"-77.0093, -12.1275",605
Hospital Materno Infantil Villa Maria del Triunfo,0x3002,hospital,281-0510,AV VILLA MARIA,12,PJ VILLA MARIA DEL TRIUNFO,VILLA MARIA 1222,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.935867,-12.156919,"-76.9359, -12.1569",653
Hospital ESSALUD Canto Grande,0x3002,hospital,,AV PROCERES DE LA INDEPENDENCIA,36,UB CANTO GRANDE,FERNANDO WIESSE CDRA. 36 MZ. M,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.995232,-11.970829,"-76.9952, -11.9708",657
Centro Salud Juan Pablo II,0x3002,hospital,,CALLE B,,AH JUAN PABLO II,CALLE B AH. JUAN PABLO II MZ. A ALT. GAMBETA KM. 2.5,CALLAO,CALLAO,CALLAO,PERU,-77.129133,-12.026344,"-77.1291, -12.0263",660
Centro de Salud Ramon Castilla,0x3002,hospital,,JR CUSCO,,UB MARISCAL RAMON CASTILLA,ESQ. CUZCO Y MIROQUESADA PJ. RAMON CASTILLA,CALLAO,CALLAO,CALLAO,PERU,-77.122306,-12.040875,"-77.1223, -12.0409",661
Posta Medica,0x3002,hospital,,CA MISIONERO ABAD,,UB CIUDAD SATELITE SANTA ROSA,MISIONERO ABAD URB.VIPOL SANTA ROSA,CALLAO,CALLAO,CALLAO,PERU,-77.10139,-12.01347,"-77.1014, -12.0135",663
Centro de Salud,0x3002,hospital,,AV ALEJANDRO BERTELLO,,UB SANTA ROSA,ALEJANDRO BERTELLO S/N,SANTA ROSA (LIMA),LIMA,LIMA,PERU,-77.173707,-11.796266,"-77.1737, -11.7963",698
Ugel Ventanilla,0x2c05,colegio,539-8511 / 488-1013,CA EUCALIPTOS,3,UB CIUDAD SATELITE,LOS EUCALIPTOS CDRA. 3 S/N URB. VENTANILLA SATELITE,VENTANILLA,CALLAO,CALLAO,PERU,-77.125063,-11.874682,"-77.1251, -11.8747",706
Hospital Guia Ex Leprosorio,0x3002,hospital,,AV SANTA ROSA,2,UB PI�ONATE,ESQ. SANTA ROSA Y CESAR VALLEJO,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.046369,-12.028134,"-77.0464, -12.0281",753
Clinica Francisco Pizarro ESSALUD,0x3002,hospital,482-9995 / 482-9720,AV FRANCISCO PIZARRO,5,,FRANCISCO PIZARRO 558,RIMAC,LIMA,LIMA,PERU,-77.034891,-12.036915,"-77.0349, -12.0369",755
CEN 6032,0x2c05,colegio,,AV BERNARDO ALCEDO,5,UB JOSE BERNARDO ALCEDO,JOSE BERNARDO ALCEDO Y TAHUANTINSUYO,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.944791,-12.182649,"-76.9448, -12.1826",900
CE Republica de Ecuador,0x2c05,colegio,291-3000,AV 1 DE MAYO,3,PJ CESAR VALLEJO,26 DE NOVIEMBRE CDRA. 1,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.94041,-12.17996,"-76.9404, -12.18",901
CE 7094 Sasakawa,0x2c05,colegio,292-9148,AV PASTOR SEVILLA,16,,ESQ. EL SOL CDRA. 14 Y PATOR SEVILLA SECTOR 1 GRUPO 1A,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.953837,-12.205629,"-76.9538, -12.2056",906
CE PNP Proceres de la Independencia,0x2c05,colegio,,AV ALFREDO MENDIOLA,60,UB INFANTAS,PANAMERICANA NORTE KM. 21,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.068627,-11.956939,"-77.0686, -11.9569",918
CE Augusto B Leguia,0x2c05,colegio,548-0131,AV MIGUEL GRAU,,UB AGUSTIN BEDOYA,BUENOS AIRES S/N,PUENTE PIEDRA,LIMA,LIMA,PERU,-77.074541,-11.868345,"-77.0745, -11.8683",934
Hospital Puente Piedra Carlos Lanfranco la Hoz,0x3002,hospital,548-1799,AV SAENZ PE�A,6,,SAENZ PE�A CDRA. 6,PUENTE PIEDRA,LIMA,LIMA,PERU,-77.079635,-11.862874,"-77.0796, -11.8629",937
Centro Materno Infantil ESSALUD,0x3002,hospital,,AV LEONCIO PRADO,34,CP ZAPALLAL 1 ETAPA,PANAMERICANA NORTE KM. 35,PUENTE PIEDRA,LIMA,LIMA,PERU,-77.108418,-11.83715,"-77.1084, -11.8371",944
CE Mi peque�o arquitecto,0x2c05,colegio,994758428,AV JUPITER,,AH ANGAMOS 3 ETAPA,A.H. ANGAMOS SECTOR II MZ. K-7 LT. 27,VENTANILLA,CALLAO,CALLAO,PERU,-77.126342,-11.890939,"-77.1263, -11.8909",991
CE Inca Pachacutec (Ex Ruso) 6037,0x2c05,colegio,,AV HEROES,9,UB SAN JUAN ZONA D,LOS HEROES 921 URB. SAN JUANITO,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.964186,-12.157538,"-76.9642, -12.1575",1049
CE Internacional Latino,0x2c05,colegio,,CA RETORNO,,UB SAN JUAN ZONA D,ESQ. MIGUEL IGLESIAS Y LOS HEROES MZ. D2,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.958842,-12.159761,"-76.9588, -12.1598",1050
Micro Red de Salud Daniel Alcides Carrion,0x3002,hospital,,AV PACHACUTEC,33,UB MARIANO MELGAR,PACHACUTEC CDRA. 30,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.945603,-12.177597,"-76.9456, -12.1776",1059
